genre,director,budget,gross,runtime,rating
Comedy,Paul Bartel,3000000.0,727639.0,84.0,R
Crime,Douglas Day Stewart,9000000.0,10435015.0,100.0,Not Rated
Comedy,John Sayles,350000.0,3677209.0,108.0,R
Comedy,Woody Allen,8000000.0,10600497.0,84.0,PG
Comedy,Willard Huyck,18000000.0,19265302.0,94.0,R
Comedy,Blake Edwards,15100000.0,26080861.0,118.0,PG-13
Comedy,Herbert Ross,12000000.0,26186631.0,96.0,PG
Comedy,Alan Rudolph,700000.0,2490233.0,106.0,R
Comedy,Howard Zieff,12000000.0,19928200.0,96.0,PG
Horror,Graham Baker,10000000.0,2773433.0,91.0,R
Drama,Gillian Armstrong,11000000.0,4385312.0,110.0,PG-13
Drama,Peter Webb,9000000.0,1393501.0,108.0,PG
Comedy,Richard Lester,7000000.0,1467396.0,96.0,R
Adventure,Louis Malle,12000000.0,129268.0,91.0,PG
Drama,James Bridges,6300000.0,1059966.0,109.0,R
Comedy,Adam Brooks,1000000.0,95000.0,96.0,R
Comedy,John Hughes,7500000.0,38934048.0,94.0,PG-13
Adventure,Richard Donner,19000000.0,63980721.0,114.0,PG
Adventure,Robert Zemeckis,19000000.0,381906762.0,116.0,PG
Action,William Friedkin,6000000.0,17307019.0,116.0,R
Comedy,Jonathan Lynn,15000000.0,14643997.0,94.0,PG
Comedy,John Hughes,1000000.0,51525171.0,97.0,R
Comedy,Ron Howard,17500000.0,85313124.0,117.0,PG-13
Action,George P. Cosmatos,44000000.0,300400432.0,96.0,R
Biography,Peter Bogdanovich,8000000.0,48230162.0,120.0,PG-13
Adventure,Ridley Scott,24500000.0,15502112.0,94.0,PG
Comedy,Dan O'Bannon,4000000.0,14237880.0,91.0,R
Drama,Joel Schumacher,10000000.0,37803872.0,110.0,R
Drama,Terry Gilliam,15000000.0,9949953.0,132.0,R
Drama,Clint Eastwood,6900000.0,41410568.0,115.0,R
Comedy,Martha Coolidge,8000000.0,12952019.0,108.0,PG
Action,Mark L. Lester,10000000.0,57491000.0,90.0,R
Crime,Peter Weir,12000000.0,68706993.0,112.0,R
Drama,Steven Spielberg,15000000.0,98467863.0,154.0,PG-13
Action,Lawrence Kasdan,26000000.0,32192570.0,133.0,PG-13
Drama,Sylvester Stallone,30000000.0,300473716.0,91.0,PG
Action,Akira Kurosawa,11500000.0,4164283.0,162.0,R
Adventure,Richard Donner,20000000.0,18432000.0,121.0,PG-13
Drama,James Ivory,3000000.0,21041453.0,117.0,Not Rated
Action,Richard Fleischer,17900000.0,6951415.0,89.0,PG-13
Fantasy,Tom Holland,9000000.0,24922237.0,106.0,R
Adventure,Joe Dante,25000000.0,9873044.0,109.0,PG
Action,George Miller,10000000.0,36230219.0,107.0,PG-13
Comedy,Martin Scorsese,4500000.0,10609321.0,97.0,R
Action,John Glen,30000000.0,50327960.0,131.0,PG
Comedy,Michael Ritchie,8000000.0,59612888.0,98.0,PG
Drama,James Bridges,19000000.0,12918858.0,115.0,R
Horror,Jack Sholder,3000000.0,29999213.0,87.0,R
Action,Tobe Hooper,25000000.0,11603545.0,101.0,R
Adventure,Tim Burton,6000000.0,40940662.0,91.0,PG
Biography,Sydney Pollack,31000000.0,227514205.0,161.0,PG
Horror,George A. Romero,3500000.0,5000000.0,101.0,Not Rated
Adventure,Amy Heckerling,17000000.0,49364621.0,95.0,PG-13
Adventure,John Landis,22000000.0,60088980.0,102.0,PG
Comedy,Steve Miner,3000000.0,19444631.0,93.0,R
Comedy,Jerry Paris,7600000.0,55600000.0,87.0,PG-13
Animation,Ted Berman,44000000.0,21288692.0,80.0,PG
Horror,Danny Steinmann,2200000.0,21930418.0,92.0,R
Action,Andrey Konchalovskiy,9000000.0,7683620.0,111.0,R
Comedy,Stuart Gordon,900000.0,2023414.0,104.0,Unrated
Comedy,Walter Hill,20000000.0,45833132.0,102.0,PG
Action,Michael Schultz,10000000.0,25754284.0,109.0,PG-13
Comedy,Susan Seidelman,4500000.0,27398584.0,104.0,PG-13
Drama,Richard Marquand,15000000.0,40491165.0,108.0,R
Action,Wolfgang Petersen,40000000.0,12303411.0,108.0,PG-13
Action,Lewis Teague,25000000.0,96773200.0,106.0,PG
Comedy,Howard Storm,3200000.0,10000000.0,94.0,PG-13
Action,John Landis,8000000.0,7562164.0,115.0,R
Comedy,Rob Reiner,4500000.0,18135531.0,95.0,PG-13
Drama,Taylor Hackford,20000000.0,42160849.0,136.0,PG-13
Horror,Daniel Attias,7000000.0,12361866.0,95.0,R
Adventure,Barry Levinson,18000000.0,19739575.0,109.0,PG-13
Drama,Joyce Chopra,2400000.0,16785.0,92.0,PG-13
Comedy,James Komack,9000000.0,20518905.0,92.0,R
Action,Michael Cimino,24000000.0,18707466.0,134.0,R
Drama,Geoff Murphy,1000000.0,2123135.0,91.0,R
Biography,Paul Schrader,5000000.0,569996.0,120.0,R
Drama,Richard Attenborough,27000000.0,14202899.0,113.0,PG-13
Comedy,Lewis Teague,7000000.0,13086298.0,94.0,PG-13
Comedy,Martin Ritt,13000000.0,30867525.0,107.0,PG-13
Comedy,Kevin Reynolds,7000000.0,91666.0,91.0,PG
Action,Michael Winner,9000000.0,16116878.0,92.0,R
Action,J. Lee Thompson,12500000.0,15057465.0,100.0,PG-13
Action,Sam Firstenberg,1000000.0,10499694.0,95.0,R
Biography,John Schlesinger,12000000.0,17130087.0,131.0,R
Comedy,Rudy De Luca,3000000.0,7196872.0,93.0,PG
Drama,Donna Deitch,1250000.0,2492088.0,91.0,R
